School Name,Acceptance Rate,SAT Math,SAT Reading and Writing,SAT Composite,ACT Composite,URL
California Institute of Technology,6.40%,795,750,1545,36,http://caltech.edu
Massachusetts Institute of Technology,6.70%,790,745,1535,35,http://mit.edu
Harvey Mudd College,14.50%,790,740,1530,35,http://hmc.edu
Harvard University,4.70%,770,750,1520,34,http://harvard.edu
University of Chicago,7.30%,775,745,1520,34,http://uchicago.edu
Washington University in Saint Louis,15.00%,780,740,1520,34,http://wustl.edu
Yale University,6.10%,770,745,1515,34,http://yale.edu
Carnegie Mellon University,15.40%,780,730,1510,34,http://cmu.edu
Duke University,8.90%,770,740,1510,34,http://duke.edu
Johns Hopkins University,11.50%,770,735,1505,34,http://jhu.edu
Stanford University,4.30%,770,735,1505,34,http://stanford.edu
Columbia University in the City of New York,5.90%,770,735,1505,34,http://columbia.edu
Rice University,11.10%,775,730,1505,34,http://rice.edu
Vanderbilt University,9.60%,775,730,1505,34,http://vanderbilt.edu
Princeton University,5.50%,765,740,1505,34,http://princeton.edu
Franklin W. Olin College of Engineering,15.70%,770,731,1501,34,http://olin.edu
University of Pennsylvania,8.40%,770,730,1500,34,http://upenn.edu
Dartmouth College,7.90%,760,740,1500,34,http://dartmouth.edu
Northwestern University,9.10%,765,730,1495,34,http://northwestern.edu
Brown University,7.70%,755,730,1485,34,http://brown.edu
Cornell University,10.90%,760,720,1480,34,http://cornell.edu
Amherst College,11.30%,755,725,1480,33,http://amherst.edu
Williams College,13.00%,750,729,1479,33,http://williams.edu
University of Notre Dame,17.70%,750,725,1475,34,http://nd.edu
Swarthmore College,9.50%,750,720,1470,32,http://swarthmor.edu
Northeastern University,18.10%,750,715,1465,34,http://northeastern.edu
Pomona College,7.40%,745,720,1465,34,http://pomona.edu
Tufts University,15.00%,750,715,1465,33,http://tufts.edu
Georgia Institute of Technology,22.60%,750,715,1465,33,http://gatech.edu
Grinnell College,24.40%,750,710,1460,32,http://grinnell.edu
Georgetown University,14.50%,735,715,1450,33,http://georgetown.edu
Carleton College,19.00%,740,710,1450,33,http://carleton.edu
Haverford College,18.80%,740,710,1450,33,http://haverford.edu
Middlebury College,15.40%,735,710,1445,33,http://middlebury.edu
Hamilton College,21.30%,730,710,1440,33,http://hamilton.edu
University of Southern California,13.00%,740,700,1440,32,http://usc.edu
Vassar College,24.60%,730,710,1440,32,http://vassar.edu
New York University,16.20%,740,700,1440,32,http://nyu.edu
University of Michigan at Ann Arbor,22.90%,735,700,1435,33,http://umich.edu
Emory University,18.50%,740,695,1435,33,http://emory.edu
Case Western Reserve University,29.30%,745,690,1435,32,http://case.edu
Smith College,31.00%,720,710,1430,32,http://smith.edu
University of Virginia,23.90%,725,705,1430,32,http://virginia.edu
Colby College,13.10%,730,700,1430,32,http://colby.edu
Claremont McKenna College,9.30%,730,697,1427,32,http://cmc.edu
Wellesley College,19.50%,720,705,1425,32,http://wellesley.edu
Boston College,27.20%,725,695,1420,33,http://bc.edu
Boston University,22.10%,730,690,1420,32,http://bu.edu
Washington and Lee University,21.20%,720,700,1420,32,http://wlu.edu
Tulane University,17.30%,720,700,1420,32,http://tulane.edu
Reed College,35.00%,710,710,1420,32,http://reed.edu
University of Rochester,31.40%,750,670,1420,31,http://rochester.edu
Colgate University,24.90%,725,690,1415,33,http://colgate.edu
The College of William and Mary,37.70%,715,700,1415,32,http://wm.edu
Berkeley University of California,14.80%,725,690,1415,31,http://berkeley.edu
The Cooper Union,13.10%,730,683,1413,31,http://cooper.edu
Macalester College,41.20%,720,691,1411,30,http://macalester.edu
Bryn Mawr College,34.10%,710,700,1410,31,http://brynmawr.edu
Pitzer College,13.30%,720,690,1410,31,http://pitzer.edu
The Jewish Theological Seminary,59.70%,690,720,1410,29,http://jtsa.edu
Rensselaer Polytechnic Institute,43.00%,731,678,1409,31,http://rpi.edu
Bowdoin College,10.30%,710,695,1405,32,http://bowdoin.edu
Stevens Institute of Technology,41.40%,730,675,1405,32,http://stevens.edu
University of California Los Angeles,12.30%,715,690,1405,31,http://ucla.edu
Barnard College,13.90%,700,704,1404,31,http://barnard.edu
Mount Holyoke College,50.90%,720,680,1400,31,http://mtholyoke.edu
Brandeis University,31.10%,720,680,1400,31,http://brandeis.edu
Villanova University,28.20%,715,680,1395,33,http://villanova.edu
Wesleyan University,16.30%,700,695,1395,32,http://wesleyan.edu
University of North Carolina,22.60%,705,690,1395,30,http://northcarolina.edu
University of North Carolina at Chapel Hill,22.60%,705,690,1395,30,http://unc.edu
Scripps College,24.20%,690,700,1390,32,http://scrippscollege.edu
Wake Forest University,29.40%,710,680,1390,31,http://wfu.edu
Southern Methodist University,47.30%,710,680,1390,31,http://smu.edu
University of Wisconsin Madison,51.70%,725,665,1390,30,http://wisc.edu
Colorado College,15.00%,700,685,1385,31,http://coloradocollege.edu
Kenyon College,35.80%,690,690,1380,31,http://kenyon.edu
University of Maryland,44.10%,705,675,1380,31,http://umaryland.edu
Bates College,17.80%,700,680,1380,31,http://bates.edu
Trinity College,33.50%,710,670,1380,31,http://trincoll.edu
Worcester Polytechnic Institute,41.60%,710,670,1380,31,http://wpi.edu
University of Richmond,30.20%,700,675,1375,32,http://richmond.edu
Binghamton University,39.80%,695,680,1375,30,http://binghamton.edu
Davidson College,19.50%,690,682,1372,31,http://davidson.edu
The George Washington University,41.90%,690,680,1370,31,http://gwu.edu
Occidental College,37.30%,690,680,1370,30,http://oxy.edu
Babson College,24.40%,710,660,1370,30,http://babson.edu
Lehigh University,32.10%,710,655,1365,31,http://lehigh.edu
Hillsdale College,36.00%,670,693,1363,31,http://hillsdale.edu
Santa Clara University,48.80%,695,665,1360,30,http://scu.edu
Franklin & Marshall College,35.30%,700,660,1360,30,http://fandm.edu
Colorado School of Mines,53.10%,695,665,1360,30,http://mines.edu
University of California San Diego,30.20%,700,660,1360,30,http://ucsd.edu
University of Florida,38.80%,685,675,1360,30,http://ufl.edu
Connecticut College,37.80%,680,678,1358,30,http://conncoll.edu
Rose-Hulman Institute of Technology,60.90%,710,647,1357,30,http://rose-hulman.edu
University of Miami,27.10%,690,665,1355,31,http://miami.edu
Ohio State University,53.70%,710,645,1355,30,http://osu.edu
Ohio State University,53.70%,710,645,1355,30,http://osu.edu
University of Texas at Austin,31.80%,685,670,1355,30,http://utexas.edu
University of California Santa Barbara,32.20%,690,665,1355,29,http://ucsb.edu
University of Minnesota,56.70%,703,649,1352,28,http://umn.edu
University of Pittsburgh,56.70%,685,665,1350,31,http://pitt.edu
Trinity University,34.20%,680,670,1350,30,http://trinity.edu
Union College,38.70%,690,660,1350,30,http://union.edu
University of Texas Dallas,78.60%,690,660,1350,30,http://utdallas.edu
University of Illinois at Urbana-Champaign,62.20%,700,650,1350,29,http://illinois.edu
College of the Holy Cross,34.20%,680,665,1345,30,http://holycross.edu
Holy Cross College,34.20%,680,665,1345,30,http://hcc-nd.edu
University of Washington,48.70%,690,650,1340,30,http://uw.edu
University of Washington,48.70%,690,650,1340,30,http://washington.edu
Fordham University,45.80%,680,660,1340,30,http://fordham.edu
Lawrence University,62.50%,670,670,1340,29,http://lawrence.edu
Bennington College,56.60%,640,700,1340,29,http://bennington.edu
Gettysburg College,45.40%,670,670,1340,28,http://gettysburg.edu
Illinois Institute of Technology,52.70%,710,630,1340,28,http://iit.edu
Bucknell University,33.00%,680,657,1337,30,http://bucknell.edu
North Carolina State University,44.90%,680,655,1335,30,http://ncsu.edu
California Polytechnic State University,30.20%,675,660,1335,29,http://calpoly.edu
Stony Brook University,44.10%,695,640,1335,29,http://stonybrook.edu
Bentley University,43.20%,690,641,1331,30,http://bentley.edu
Sarah Lawrence College,55.80%,650,681,1331,29,http://slc.edu
Saint John’s College (MD),57.60%,650,680,1330,29,http://sjc.edu
Rhodes College,44.60%,660,670,1330,29,http://rhodes.edu
Bard College,64.60%,650,680,1330,29,http://bard.edu
Lafayette College,31.50%,665,660,1325,31,http://lafayette.edu
University of Georgia,48.60%,660,665,1325,30,http://uga.edu
New College of Florida,76.80%,650,674,1324,29,http://ncf.edu
Pepperdine University,35.70%,670,650,1320,29,http://pepperdine.edu
Wheaton College,82.60%,665,650,1315,29,http://wheaton.edu
University of Connecticut,48.80%,670,645,1315,29,http://uconn.edu
Brigham Young University,67.50%,655,660,1315,29,http://byu.edu
